Kanji | Hiragana | Meaning
あ | あ | Ah
ああ | ああ | like that
あいさつ・する | あいさつ・する | to greet
間 | あいだ | a space
合う | あう | to match
あかちゃん | あかちゃん | infant
上る | あがる | to rise
赤ん坊 | あかんぼう | baby
空く | あく | to open, to become empty
アクセサリー | - | accessory
あげる | あげる | to give
浅い | あさい | shallow, superficial
味 | あじ | flavour
アジア | - | Asia
明日 | あす | tomorrow
遊び | あそび | play
集る | あつまる | to gather
集める | あつめる | to collect something
アナウンサー | - | announcer
アフリカ | - | Africa
アメリカ | - | America
謝る | あやまる | to apologize
アルコール | - | alcohol
アルバイト | - | part-time job
安心 | あんしん | relief
安全 | あんぜん | safety
あんな | - | such
案内・する | あんない・する | to guide
以下 | いか | less than
以外 | いがい | with the exception of
医学 | いがく | medical science
生きる | いきる | to live
意見 | いけん | opinion
石 | いし | stone
いじめる | いじめる | to tease
以上 | いじょう | more than, this is all
急ぐ | いそぐ | to hurry
致す | いたす | (humble) to do
いただく | いただく | (humble) to receive
一度 | いちど | once
一生懸命 | いっしょうけんめい | with utmost effort
いっぱい | いっぱい | full
糸 | いと | thread
以内 | いない | within
田舎 | いなか | countryside
祈る | いのる | to pray
いらっしゃる | いらっしゃる | (respectful) to be, to come, or to go
植える | うえる | to plant, to grow
うかがう | うかがう | to visit
受付 | うけつけ | reception
受ける | うける | to take a lesson or test
動く | うごく | to move
うそ | うそ | a lie
うち | うち | within
打つ | うつ | to hit
美しい | うつくしい | beautiful
写す | うつす | to copy or photograph
移る | うつる | to move house or transfer
腕 | うで | arm
うまい | うまい | delicious
裏 | うら | reverse side
売り場 | うりば | place where things are sold
うれしい | うれしい | glad
うん | うん | (informal) yes
運転・する | うんてん・する | to drive
運転手 | うんてんしゅ | driver
運動・する | うんどう・する | to exercise
エスカレーター | - | escalator
枝 | えだ | branch, twig
選ぶ | えらぶ | to choose
遠慮・する | えんりょ・する | to be reserved, to be restrained
おいでになる | おいでになる | (respectful) to be
お祝い | おいわい | congratulation
オートバイ | - | motorcycle
おかげ | おかげ | owing to
おかしい | おかしい | strange or funny
億 | おく | one hundred million
屋上 | おくじょう | rooftop
贈り物 | おくりもの | gift
送る | おくる | to send
遅れる | おくれる | to be late
起す | おこす | to wake
行う | おこなう | to do
怒る | おこる | to get angry, to be angry
押し入れ | おしいれ | closet
お嬢さん | おじょうさん | young lady
お宅 | おたく | (polite) your house
落る | おちる | to fall or drop
おっしゃる | おっしゃる | (respectful) to say
夫 | おっと | husband
おつり | おつり | change from purchase, balance
音 | おと | sound, note
落す | おとす | to drop
踊り | おどり | a dance
踊る | おどる | to dance
驚く | おどろく | to be surprised
お祭り | おまつり | festival
お見舞い | おみまい | calling on someone who is ill, inquiry
お土産 | おみやげ | souvenir
思い出す | おもいだす | to remember
思う | おもう | to think, to feel
おもちゃ | - | toy
表 | おもて | the front
親 | おや | parents
下りる | おりる | to get off
折る | おる | to break or to fold
お礼 | おれい | expression of gratitude
折れる | おれる | to break or be folded
終わり | おわり | the end
